,Unnamed: 0,county,risk,statename,stateAbbrev
93,1327,YakutatCityandBorough,31.3564401422042,Alaska,AK
94,1331,DenaliBorough,30.5431861712748,Alaska,AK
95,1337,SkagwayMunicipality,25.7381188030928,Alaska,AK
96,1338,ElPasoCounty,67.9445419215744,Arizona,AZ
97,1341,CurryCounty,65.7737128798296,Arizona,AZ
98,1348,SanJuanCounty,64.064388801378,Arizona,AZ
99,1349,MaricopaCounty,63.908506576593,Arizona,AZ
100,1356,ValenciaCounty,62.015422204257796,Arizona,AZ
101,1358,McKinleyCounty,61.78003656101301,Arizona,AZ
102,1367,YumaCounty,60.327190031959496,Arizona,AZ
103,1371,BernalilloCounty,60.128921407262,Arizona,AZ
104,1375,DonaAnaCounty,59.940816607090795,Arizona,AZ
105,1376,GilaCounty,59.915438198099295,Arizona,AZ
106,1379,TorranceCounty,59.7429225417593,Arizona,AZ
107,1385,NavajoCounty,59.6682142450167,Arizona,AZ
108,1392,CoconinoCounty,59.229889130376996,Arizona,AZ
109,1395,ApacheCounty,58.91655601653849,Arizona,AZ
110,1403,PimaCounty,58.3933842800752,Arizona,AZ
111,1404,QuayCounty,58.317319455436,Arizona,AZ
112,1432,SantaFeCounty,57.5252101173732,Arizona,AZ
113,1450,GrahamCounty,56.9214573392764,Arizona,AZ
114,1455,OteroCounty,56.719446286384894,Arizona,AZ
115,1458,ChavesCounty,56.5798817626573,Arizona,AZ
116,1462,LunaCounty,56.4295087644252,Arizona,AZ
117,1473,MohaveCounty,56.179523826244896,Arizona,AZ
118,1497,CibolaCounty,55.72591455304711,Arizona,AZ
119,1511,GrantCounty,55.1609709855505,Arizona,AZ
120,1519,TaosCounty,54.922394248309296,Arizona,AZ
121,1531,CulbersonCounty,54.4824040565556,Arizona,AZ
122,1547,RooseveltCounty,54.0820060717478,Arizona,AZ
123,1556,LaPazCounty,54.0136977453552,Arizona,AZ
124,1565,SocorroCounty,53.8614095009431,Arizona,AZ
125,1574,PinalCounty,53.69744847619221,Arizona,AZ
126,1577,CochiseCounty,53.589783789388285,Arizona,AZ
127,1599,HidalgoCounty,53.08136802433911,Arizona,AZ
128,1601,ColfaxCounty,53.0563512466217,Arizona,AZ
129,1636,DeBacaCounty,52.5922866966537,Arizona,AZ
130,1639,HudspethCounty,52.5431056309128,Arizona,AZ
131,1665,UnionCounty,51.985513655378,Arizona,AZ
132,1699,SanMiguelCounty,51.41947126920521,Arizona,AZ
133,1701,HardingCounty,51.3256037200175,Arizona,AZ
134,1724,RioArribaCounty,51.0912077880028,Arizona,AZ
135,1745,SandovalCounty,50.7613876217625,Arizona,AZ
136,1746,SierraCounty,50.728091522952795,Arizona,AZ
137,1773,LeaCounty,50.2466213474356,Arizona,AZ
138,1832,MoraCounty,49.251512383947,Arizona,AZ
139,1836,LincolnCounty,49.2167551888765,Arizona,AZ
140,1863,SantaCruzCounty,48.850972942801704,Arizona,AZ
141,1888,EddyCounty,48.5021146778872,Arizona,AZ
142,1943,GuadalupeCounty,47.908400982259906,Arizona,AZ
143,1967,GreenleeCounty,47.5932603620968,Arizona,AZ
144,2005,CatronCounty,47.1810934955227,Arizona,AZ
145,2041,YavapaiCounty,46.809245260912,Arizona,AZ
146,2825,LosAlamosCounty,38.663753319738,Arizona,AZ
147,2848,CoconinoCounty,38.4172172338757,Arkansas,AR
148,2849,PimaCounty,38.408775550539204,Arkansas,AR
149,2850,SantaFeCounty,38.397237780268895,Arkansas,AR
150,2851,MaricopaCounty,38.3524984624939,Arkansas,AR
151,2852,BernalilloCounty,38.3226108484452,Arkansas,AR
152,2856,PinalCounty,38.255006123666895,Arkansas,AR
153,2857,CochiseCounty,38.2154617306963,Arkansas,AR
154,2874,YumaCounty,38.0732377594716,Arkansas,AR
